Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,28OCT21,18500,CE,2021-10-22,09:15:59,64.5,64.5,51.35,55.4,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:16:59,55.4,58.85,55.0,55.05,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:17:59,55.0,55.55,49.65,52.15,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:18:59,51.9,53.65,47.85,53.65,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:19:59,54.3,55.9,53.55,55.9,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:20:59,56.95,58.8,55.95,57.45,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:21:59,57.5,57.95,54.85,56.4,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:22:59,56.35,56.35,53.45,55.3,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:23:59,55.05,55.15,50.2,52.7,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:24:59,53.0,55.0,51.95,53.9,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:25:59,54.35,55.3,53.25,54.5,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:26:59,54.6,56.95,54.25,56.95,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:27:59,56.9,57.5,56.05,56.6,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:28:59,56.6,57.2,55.25,57.0,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:29:59,57.1,57.65,55.3,56.6,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:30:59,56.7,59.5,56.7,59.2,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:31:59,59.35,60.0,56.8,57.8,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:32:59,57.7,59.15,57.7,58.25,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:33:59,58.3,58.75,56.8,58.45,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:34:59,58.8,60.05,58.5,60.05,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:35:59,60.25,60.25,57.35,58.1,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:36:59,58.35,59.8,57.9,59.35,0,0
NIFTY,28OCT21,18500,CE,2021-10-22,09:37:59,59.25,60.4,58.4,60.35,0,0
